wavenumber,mixed_spectrum
691,5.233204041855588e-24
692,7.959125708384885e-25
693,3.415313567337041e-24
694,5.545454820878359e-25
695,6.791880767464462e-26
696,1.7619646455225478e-24
697,7.039972897693372e-24
698,3.9951066805469917e-25
699,1.0306690867637741e-25
700,2.665368930789026e-24
701,2.6413027705691614e-25
702,4.996432635522975e-24
703,4.9315501531654135e-24
704,2.418395248202535e-25
705,3.6278043021862715e-25
706,1.0214284041471046e-25
707,2.307955157619816e-25
708,2.1733555644886944e-24
709,3.69038766880943e-24
710,6.745394495159927e-25
711,4.810384225833149e-25
712,1.9693264818345167e-24
713,4.497707987176685e-24
714,1.7389968623172938e-25
715,3.528740187359411e-25
716,6.820895313114164e-25
717,5.684499228399032e-24
718,2.6065116059109623e-24
719,3.493872280423256e-25
720,1.1859533408224838e-25
721,7.96698756819656e-24
722,2.9356042269525345e-24
723,9.171945069179446e-26
724,8.908084116289407e-24
725,5.590746196668102e-24
726,3.4527546671441356e-24
727,5.632571781677837e-24
728,9.68288056673514e-24
729,3.395432979042575e-24
730,1.2903178909892898e-24
731,4.161747690955168e-24
732,1.3538944178702782e-24
733,2.9373895102062658e-24
734,1.2238774904978384e-24
735,6.631322360888584e-25
736,1.2006975572078034e-24
737,1.6050370655822072e-23
738,2.5424594569714847e-23
739,1.7655845035328927e-24
740,1.31214376453494e-23
741,8.69968810279338e-25
742,9.501843851987272e-25
743,7.773298015494234e-25
744,1.2905801440719451e-23
745,1.0216651581459089e-23
746,2.7854733561870484e-24
747,8.021057503858988e-25
748,5.0256890830304886e-24
749,1.8853196315980295e-25
750,2.4463831721778798e-25
751,3.5766691180747465e-24
752,1.312279474781615e-24
753,8.082375384541192e-25
754,1.0029754220487603e-24
755,1.5159739970786095e-25
756,5.688697554033776e-25
757,4.296565366512585e-24
758,1.1970793076030734e-24
759,6.131953415407944e-24
760,1.8406892755443135e-23
761,5.278162042856953e-24
762,1.9475440386834703e-23
763,1.4104379769939773e-24
764,7.520708912631126e-26
765,3.0143160492485533e-25
766,1.094520800316427e-24
767,2.4811855951365898e-24
768,3.1554557535678452e-24
769,8.248323165759228e-24
770,8.353171492490365e-24
771,4.509734596791561e-24
772,7.20968384279257e-24
773,2.1899272780708775e-24
774,7.0792800779607185e-25
775,3.2737620241411894e-25
776,1.789667455450001e-25
777,3.290739020426401e-25
778,8.383251946238234e-26
779,8.738695404978334e-25
780,9.690509621900147e-24
