wavenumber,NO2,SO2
744,3.2264107739027065e-23,2.6390851437298683e-28
745,2.554138172349258e-23,1.6482010342620341e-28
746,6.960874808230551e-24,1.8723881580465914e-27
747,2.0042593214643563e-24,6.700363335936351e-28
748,1.2563453133150246e-23,5.130496173169908e-28
749,4.7115481331572045e-25,1.1672972252461348e-28
750,6.112624753559135e-25,2.2221179237091077e-28
751,8.938723907017748e-24,1.9659254460787327e-27
752,3.2803416461544027e-24,2.3802719975638257e-28
753,2.0200229046471423e-24,3.8062765877036134e-28
754,2.507222166296873e-24,1.4425921668502536e-28
755,3.785318141771232e-25,3.0779006168608548e-28
756,1.4209336513447505e-24,8.27158109129035e-28
757,1.0740608989629564e-23,5.3628443459968145e-28
758,2.9917796610216118e-24,6.124053240479383e-28
759,1.5329402860039425e-23,3.2045232028882744e-28
760,4.601550753374744e-23,1.1495699069308123e-27
761,1.3195066604708728e-23,2.256682891017006e-28
762,4.8688374740768503e-23,1.5081754550136369e-28
763,3.5259167944688085e-24,1.1876534408955505e-28
764,1.875232974911028e-25,3.296168831168778e-28
765,7.532201477998667e-25,2.3924300818107263e-28
766,2.735673694805024e-24,4.188706573623076e-28
767,6.201992917847221e-24,6.473799961687531e-28
768,7.887943821651073e-24,4.637081790265121e-28
769,2.0620417822829303e-23,2.600610458419689e-28
770,2.088234913786388e-23,3.8639557468648472e-28
771,1.1274087720298768e-23,1.6584778675517879e-28
772,1.8023727127482167e-23,3.2165299950434865e-28
773,5.474562567335362e-24,1.7041856122021212e-28
774,1.7694308643796313e-24,2.594367403654847e-28
775,8.182571773009021e-25,1.2221915626344125e-28
776,4.471498813255411e-25,1.7798835797274328e-28
777,8.222715000731864e-25,2.755033556091855e-28
778,2.094303030252394e-25,1.0066375381094938e-28
779,2.1841057567258466e-24,3.787296791579036e-28
780,2.422612068415561e-23,1.0224706317080054e-28
781,6.520433873971196e-23,2.448532148395461e-28
782,3.2188685153472302e-24,1.5323475954134484e-28
783,7.302903395253316e-24,2.151448805461072e-28
784,5.884319395861102e-25,1.2204563502872438e-28
785,8.739473580094629e-25,2.188623490319341e-28
786,1.809638497727926e-24,3.940504350267159e-28
787,1.3151387458356576e-24,1.0678468221808345e-28
788,7.274655713610658e-25,4.184089159371576e-28
789,6.692283448068735e-24,1.4722483900649505e-28
790,1.369936720554532e-23,5.060822013398535e-28
791,1.5179576134275855e-23,2.348614699542316e-28
792,1.1556674950874404e-23,1.491549470895062e-28
793,1.0052653586059212e-24,6.062247648915417e-28
794,7.339064219772008e-24,2.5663815551546296e-28
795,3.8259248926907135e-24,3.340791411041477e-28
796,6.700621424869733e-24,2.413492855705969e-28
797,4.162806349825854e-25,2.776274110138929e-28
798,3.10339391145959e-23,4.023642649402035e-28
799,2.4795752761105433e-23,2.145530831101087e-28
800,2.364841967327497e-25,1.9426802112074382e-28
801,5.066597340147262e-24,1.3263882330625771e-27
802,9.969539134396441e-24,2.3523925564449286e-28
803,2.0738186025370175e-24,3.1250933405522737e-27
804,1.4746055621572386e-24,2.9189822506212813e-28
805,1.3429134458547827e-24,4.187473736295304e-27
806,5.3639240506353884e-24,3.7192548800885357e-28
807,1.6023958292579753e-23,3.1759141077670387e-27
808,4.984531410911108e-25,1.3723382325979278e-28
809,3.806103315093698e-24,7.294586908569079e-27
810,1.898148198228493e-23,4.401355113148788e-28
811,5.834296338716782e-23,1.1785926986296048e-27
812,9.420366055083702e-24,1.716475247528406e-28
813,2.9950713188502372e-24,3.662415360774691e-27
814,4.4265012546317694e-23,2.292441121486063e-27
815,1.568916277402095e-24,1.2003791542032729e-27
816,1.874969934095557e-23,1.8758713356541378e-28
817,1.4225503685506512e-24,1.0552999999778204e-26
818,1.5699999999999997e-23,7.6087517880537e-27
819,9.623264506263689e-23,4.398299700866747e-27
820,1.4216541144760794e-23,3.202337445779001e-26
