nu,sw
465.63625,6.602e-99
465.660502,1.323e-88
465.660898,4.81e-49
466.061932,4.668e-49
466.146734,1.318e-88
466.613796,1.882e-52
466.73885,3.398e-85
467.024506,1.857e-52
467.159323,1.093e-95
467.219505,3.3850000000000004e-85
467.393641,3.948e-56
467.567292,1.0009999999999999e-81
467.681641,1.089e-95
467.813685,3.9110000000000003e-56
467.996612,7.240999999999999e-60
468.041885,9.964999999999999e-82
468.160893,3.359e-78
468.418094,1.328e-63
468.425635,7.187999999999999e-60
468.53257,1.276e-74
468.62896,3.3440000000000005e-78
468.652547,2.575e-67
468.693338,5.443e-71
468.855728,1.319e-63
468.894736,2.1009999999999998e-92
468.99366,1.27e-74
469.071152,8.672999999999998e-41
469.098405,2.561e-67
469.147019,5.417e-71
469.412514,2.093e-92
469.464378,2.324e-99
469.477424,8.847999999999998e-41
470.017641,2.316e-99
470.279869,1.0149999999999999e-47
470.339815,4.683e-89
470.696583,1.542e-47
470.852516,4.665e-89
471.320381,2.5380000000000002e-49
471.515096,1.2040000000000001e-85
471.619683,3.826e-96
471.747216,2.474e-49
472.022209,1.199e-85
472.168985,3.811e-96
472.190078,7.884999999999999e-53
472.438356,3.554e-82
472.626697,7.782999999999999e-53
472.885779,1.541e-56
472.939387,3.539e-82
473.124907,1.197e-78
473.331833,1.527e-56
473.403627,2.73e-60
473.457893,7.347e-93
473.587873,4.571e-75
473.619379,1.192e-78
473.738954,4.902e-64
473.838451,1.963e-71
473.858751,2.7099999999999996e-60
473.886138,9.378e-68
474.002668,7.3179999999999985e-93
474.075328,4.55e-75
474.202768,4.872e-64
474.318446,1.953e-71
474.358247,9.327e-68
474.886513,2.0159999999999998e-41
475.003013,1.637e-89
475.318906,2.0679999999999998e-41
475.542715,1.631e-89
476.013206,2.757e-47
476.062001,1.324e-96
476.275914,4.214e-86
476.456167,2.305e-47
476.638818,1.319e-96
476.810019,4.196e-86
476.97079,1.23e-49
477.294658,1.246e-82
477.423987,1.203e-49
477.756647,3.2059999999999995e-53
477.822662,1.241e-82
478.003746,2.539e-93
478.074808,4.21e-79
478.219736,3.1659999999999995e-53
478.367575,5.894e-57
478.576051,2.529e-93
478.596224,4.191e-79
478.629702,1.615e-75
478.799674,1.012e-60
478.840195,5.841000000000002e-57
478.97072,6.982e-72
479.048219,1.782e-64
479.107511,3.365e-68
479.144062,1.608e-75
479.281451,1.004e-60
479.477572,6.946000000000001e-72
479.538764,1.771e-64
479.60642,3.347e-68
479.649615,5.655e-90
480.216852,5.632e-90
480.485809,4.528e-97
480.6935,4.1770000000000004e-42
481.020815,1.456e-86
481.090674,4.51e-97
481.152583,4.319e-42
481.58245,1.45e-86
481.737526,5.214e-47
482.135703,4.313e-83
482.207301,4.829e-47
482.531823,8.667999999999999e-94
482.61155,5.588e-50
482.69122,4.294e-83
483.010096,1.461e-79
483.091675,5.48e-50
483.132195,8.632999999999999e-94
483.312942,1.2679999999999998e-53
483.558999,1.455e-79
483.657551,5.63e-76
483.803061,1.253e-53
483.838475,2.21e-57
484.089632,2.448e-72
484.18421,3.686e-61
484.199361,5.602000000000001e-76
484.279144,1.93e-90
484.316144,1.19e-68
484.338219,2.19e-57
484.345359,6.3770000000000004e-65
484.623888,2.436e-72
484.693195,3.659e-61
484.842401,1.1829999999999999e-68
484.863187,6.337e-65
484.874455,1.922e-90
484.890644,1.531e-97
485.524096,1.525e-97
485.749322,4.97e-87
486.339026,4.948e-87
486.491523,7.205000000000001e-43
486.961009,1.474e-83
486.977871,7.559e-43
487.04166,2.925e-94
487.452258,4.3419999999999996e-47
487.544582,1.467e-83
487.670638,2.913e-94
487.930283,5.005e-80
487.949417,4.13e-47
488.242101,2.411e-50
488.507217,4.982e-80
488.670923,1.936e-76
488.74972,2.368e-50
488.858413,4.8899999999999987e-54
488.891133,6.505e-91
489.194682,8.465e-73
489.240731,1.926e-76
489.276051,5.116e-98
489.297942,8.127e-58
489.376127,4.834e-54
489.511525,4.148e-69
489.515059,6.477e-91
489.556705,1.321e-61
489.629853,2.248e-65
489.756893,8.421e-73
489.825372,8.056e-58
489.938631,5.095e-98
490.065683,4.124e-69
490.093457,1.311e-61
490.175519,2.2330000000000007e-65
490.460958,1.675e-87
491.079277,1.668e-87
491.532797,9.755e-95
491.770097,4.972e-84
492.190926,9.713e-95
492.280013,8.698999999999999e-44
492.382271,4.9499999999999995e-84
492.794201,9.438e-44
492.834884,1.692e-80
493.15684,2.6749999999999997e-47
493.440399,1.684e-80
493.485118,2.166e-91
493.641576,1.69e-98
493.669329,6.567e-77
493.681956,2.576e-47
493.861893,9.963e-51
494.138206,2.157e-91
494.267687,6.535e-77
494.285376,2.887e-73
494.33383,1.683e-98
494.392522,1.841e-54
494.397575,9.8e-51
494.693151,1.425e-69
494.745446,2.9340000000000002e-58
494.876094,2.871e-73
494.90119,7.801e-66
494.91664,4.654e-62
494.938396,1.821e-54
495.155262,5.576999999999999e-88
495.275766,1.416e-69
495.301125,2.908e-58
495.475254,7.751999999999999e-66
495.48172,4.621e-62
495.802743,5.551999999999999e-88
496.004782,3.215e-95
496.562496,1.656e-84
496.692609,3.201e-95
497.203823,1.6490000000000002e-84
497.723425,5.648e-81
497.986775,5.522e-99
498.058409,3.351e-45
498.060644,7.129e-92
498.358073,5.620999999999998e-81
498.601015,4.243e-45
498.652288,2.198e-77
498.709254,5.498e-99
498.743445,7.097e-92
498.850725,1.4e-47
499.279749,2.187e-77
499.361225,9.708e-74
499.404372,1.357e-47
499.47039,3.966e-51
499.831771,1.834e-88
499.860529,4.824e-70
499.914742,6.774e-55
499.981009,9.656e-74
500.034707,3.905e-51
500.15887,2.667e-66
500.180472,1.04e-58
500.263506,1.614e-62
500.457164,1.047e-95
500.472161,4.796e-70
500.489346,6.702e-55
500.508967,1.826e-88
500.761893,2.65e-66
500.764965,1.031e-58
500.857479,1.602e-62
501.175243,1.043e-95
501.337742,5.449e-85
