nu,sw
604.85959,4.75e-25
604.85959,4.87e-25
604.85959,5e-25
604.956668,1.77e-25
604.956685,1.73e-25
604.956687,1.7e-25
604.989902,1.7e-25
604.989904,1.74e-25
604.989911,1.6699999999999999e-25
605.227811,8.93e-25
605.227812,9.49e-25
605.227823,1.0099999999999999e-24
605.251614,8.46e-25
605.251619,9.63e-25
605.25162,9.03e-25
605.299772,9.22e-25
605.299772,9.83e-25
605.299773,9.52e-25
605.343834,8.98e-25
605.343834,9.59e-25
605.343836,9.28e-25
605.443914,1.09e-24
605.443918,1.1399999999999999e-24
605.443923,1.18e-24
605.489713,1.1499999999999999e-24
605.489717,1.05e-24
605.489718,1.0999999999999998e-24
605.713283,5.99e-25
605.713289,5.84e-25
605.71329,5.6899999999999995e-25
605.752407,5.57e-25
605.752408,5.87e-25
605.752408,5.72e-25
605.855174,2.16e-25
605.85519,2.12e-25
605.855192,2.07e-25
605.888854,2.08e-25
605.888855,2.12e-25
605.888862,2.04e-25
606.099359,9.55e-25
606.099359,1.0199999999999999e-24
606.09937,1.09e-24
606.115999,8.999999999999998e-25
606.116009,9.65e-25
606.11601,1.04e-24
606.183744,1.05e-24
606.183745,1.12e-24
606.183745,1.0799999999999999e-24
606.228565,1.0199999999999999e-24
606.228565,1.09e-24
606.228567,1.05e-24
606.319985,1.19e-24
606.319989,1.24e-24
606.319995,1.2999999999999998e-24
606.365937,1.26e-24
606.365942,1.1499999999999999e-24
606.365943,1.2e-24
606.604521,7.02e-25
606.604527,6.6599999999999995e-25
606.604527,6.84e-25
606.64429,6.51e-25
606.644291,6.69e-25
606.644291,6.87e-25
606.752901,2.63e-25
606.752916,2.58e-25
606.752918,2.5199999999999998e-25
606.787046,2.53e-25
606.787048,2.58e-25
606.787053,2.48e-25
606.970961,1.09e-24
606.970965,1.0199999999999999e-24
606.970971,1.17e-24
606.977232,9.54e-25
606.977246,1.03e-24
606.977253,1.11e-24
607.066635,1.18e-24
607.066637,1.26e-24
607.066637,1.2199999999999999e-24
607.112233,1.23e-24
607.112234,1.1399999999999999e-24
607.112235,1.18e-24
607.19498,1.2999999999999998e-24
607.194984,1.36e-24
607.194991,1.42e-24
607.2409,1.37e-24
607.240905,1.25e-24
607.240906,1.31e-24
607.494783,8.18e-25
607.494788,7.9599999999999995e-25
607.494789,7.75e-25
607.535227,7.79e-25
607.535227,7.999999999999999e-25
607.535227,7.58e-25
607.649832,3.19e-25
607.649846,3.12e-25
607.649848,3.05e-25
607.684464,3.06e-25
607.684465,3.13e-25
607.68447,3e-25
607.834124,1.0099999999999999e-24
607.834147,1.09e-24
607.834162,1.19e-24
607.843281,1.17e-24
607.843289,1.26e-24
607.84329,1.09e-24
607.948436,1.32e-24
607.948438,1.36e-24
607.948439,1.4099999999999999e-24
607.994826,1.38e-24
607.994827,1.2799999999999999e-24
607.994829,1.3299999999999999e-24
608.06892,1.4099999999999999e-24
608.068924,1.4799999999999999e-24
608.068932,1.5499999999999998e-24
608.114553,1.4999999999999998e-24
608.114557,1.3499999999999999e-24
608.114559,1.42e-24
608.384057,9.49e-25
608.384062,9.23e-25
608.384063,8.98e-25
608.425205,8.769999999999999e-25
608.425206,9.28e-25
608.425206,9.02e-25
608.545951,3.85e-25
608.545965,3.76e-25
608.545966,3.68e-25
608.581091,3.69e-25
608.581093,3.78e-25
608.581097,3.61e-25
608.829139,1.4699999999999999e-24
608.829141,1.52e-24
608.829143,1.58e-24
608.876331,1.5399999999999999e-24
608.876333,1.42e-24
608.876335,1.4799999999999999e-24
608.941836,1.52e-24
608.941841,1.5999999999999999e-24
608.94185,1.68e-24
608.986829,1.62e-24
608.986833,1.45e-24
608.986835,1.5399999999999999e-24
609.272331,1.0999999999999998e-24
609.272335,1.07e-24
609.272336,1.04e-24
609.314214,1.07e-24
609.314214,1.0099999999999999e-24
609.314215,1.04e-24
609.403859,1.04e-25
609.403901,1.02e-25
609.403906,9.97e-26
609.433596,9.97e-26
609.433601,1.02e-25
609.433635,9.830000000000001e-26
609.441242,4.62e-25
609.441255,4.52e-25
609.441256,4.42e-25
609.476914,4.43e-25
609.476915,4.53e-25
609.476919,4.33e-25
609.708738,1.63e-24
609.70874,1.69e-24
609.708742,1.75e-24
609.756735,1.7e-24
609.756737,1.58e-24
609.756739,1.64e-24
609.813779,1.64e-24
609.813783,1.72e-24
609.813793,1.82e-24
609.857639,1.74e-24
609.857643,1.56e-24
609.857645,1.65e-24
610.159591,1.2699999999999999e-24
610.159595,1.19e-24
610.159595,1.23e-24
610.202242,1.16e-24
610.202242,1.24e-24
610.202243,1.2e-24
610.262867,3.094e-25
610.302975,1.3e-25
610.303014,1.27e-25
610.303019,1.25e-25
610.316778,3.0099999999999997e-25
610.333099,1.25e-25
610.333103,1.28e-25
610.333133,1.23e-25
610.335689,5.52e-25
610.335701,5.39e-25
610.335703,5.27e-25
610.371917,5.28e-25
610.371918,5.41e-25
610.371921,5.16e-25
610.587224,1.7999999999999997e-24
610.587227,1.87e-24
610.58723,1.94e-24
610.636022,1.88e-24
610.636025,1.74e-24
610.636027,1.81e-24
610.684819,1.75e-24
610.684823,1.85e-24
610.684835,1.96e-24
610.726857,1.88e-24
610.72686,1.67e-24
610.726863,1.7699999999999998e-24
611.045825,1.45e-24
611.045828,1.4099999999999999e-24
611.045828,1.37e-24
611.089278,1.42e-24
611.089278,1.3299999999999999e-24
611.089279,1.37e-24
611.145444,3.4660000000000003e-25
611.200592,3.368e-25
611.201514,1.61e-25
611.20155,1.58e-25
611.201554,1.55e-25
611.229276,6.57e-25
611.229287,6.42e-25
611.229289,6.27e-25
611.232038,1.56e-25
611.232042,1.59e-25
611.232069,1.53e-25
611.266085,6.29e-25
611.266086,6.44e-25
611.266089,6.14e-25
611.464596,1.98e-24
611.464599,2.06e-24
611.464603,2.1499999999999998e-24
611.514176,2.08e-24
611.51418,1.9099999999999997e-24
611.514181,1.99e-24
