wavenumber,mixed_spectrum
814.0,1.7706692750863527e-23
815.0,6.279266247070991e-25
816.0,7.499936012522299e-24
817.0,5.72186047420194e-25
818.0,6.282282625536415e-24
819.0,3.8494377514965013e-23
820.0,5.696223470241655e-24
821.0,2.0271437765137434e-24
822.0,1.7573382264088793e-24
823.0,3.920443969823042e-25
824.0,3.632442958513037e-25
825.0,2.1712785269703128e-24
826.0,1.4439266298807713e-25
827.0,1.2642510680988186e-24
828.0,5.838782760323598e-25
829.0,1.6241190049312305e-25
830.0,4.934701025072364e-24
831.0,6.714786199099534e-24
832.0,3.768051806463031e-24
833.0,1.4738457980780018e-23
834.0,9.003521790512814e-25
835.0,2.9338694496055444e-24
836.0,6.892173060107151e-25
837.0,1.717593467728936e-24
838.0,1.7335496202082368e-24
839.0,7.648786012259646e-25
840.0,2.1724445616872693e-23
841.0,2.4297414032953597e-25
842.0,4.9418669047960575e-24
843.0,2.304522670258375e-25
844.0,5.317444545245296e-26
845.0,2.5254862855626887e-23
846.0,1.9631520648394197e-24
847.0,3.648885796611138e-24
848.0,3.7105863988409646e-25
849.0,2.765978685922135e-23
850.0,2.03601348353105e-23
851.0,7.46476852981262e-25
852.0,1.700566162282394e-24
853.0,1.7237219833700543e-23
854.0,2.527989984233102e-23
855.0,8.543354538253163e-25
856.0,8.314557586318427e-25
857.0,1.9387509331534155e-24
858.0,1.5879254882840204e-23
859.0,2.6089674101513343e-23
860.0,4.037422391031491e-24
861.0,4.090291649319956e-26
862.0,1.3870558998958223e-23
863.0,9.799096342352255e-26
864.0,1.9114838330045408e-23
865.0,3.06085637420583e-25
866.0,1.3992797445930635e-25
867.0,8.71843925792801e-25
868.0,7.957699198818116e-25
869.0,1.5081893508124605e-25
870.0,2.4404461956781966e-24
871.0,1.7884079472057482e-25
872.0,2.625724127484454e-24
873.0,6.12318478868939e-24
874.0,5.1127515039603275e-25
875.0,4.397422222566134e-25
876.0,2.0106432796320182e-24
877.0,2.633180298656139e-24
878.0,3.0519015405978604e-24
879.0,1.8403882699125097e-24
880.0,5.174156668308148e-25
881.0,3.2885226444628535e-25
882.0,1.8485779978382293e-24
883.0,1.255528923787393e-23
