wavenumber,NO,NO2,SO2
670.0,6.340362476141901e-69,8.29e-25,2.992694594345622e-27
671.0,4.736535080802766e-82,2.784026193253001e-23,2.25587442477599e-26
672.0,9.46740583562102e-69,1.4841014257033138e-24,6.685062674186913e-28
673.0,4.613642942813295e-82,4.351146209809989e-24,1.8055880517161777e-26
674.0,1.0963488612463248e-82,4.523168541869126e-25,1.5336301241464862e-27
675.0,3.315221604939529e-70,7.833710859251901e-25,5.239188288383141e-27
676.0,2.349061237797282e-78,2.2293325092688797e-25,6.352470225599161e-27
677.0,4.814996177076492e-88,1.1555798064146024e-25,2.717361121705904e-25
678.0,1.0243792849055321e-82,1.6884215573482922e-25,1.9287822977460622e-26
679.0,8.237394162766342e-79,1.1478201528410859e-24,1.1516886735494224e-27
680.0,3.320568209650588e-61,1.7693193837946872e-24,3.463917200162712e-27
681.0,9.682214712105717e-79,6.520687736161256e-24,3.8097993637947646e-27
682.0,1.0278474499828508e-61,4.058103952032363e-25,2.037249973301982e-27
683.0,2.7848611441578546e-66,1.0325256734203311e-23,9.340229052312411e-28
684.0,5.299145940841602e-75,9.152320470820893e-24,3.59381332305824e-27
685.0,4.650254665692158e-71,5.307884547462087e-23,1.9046995889488786e-28
686.0,3.0543363438618067e-76,4.5038304943509004e-24,2.484752458978252e-27
687.0,1.9898999400313817e-75,1.6832974087144643e-24,7.373459644749002e-28
688.0,5.129013825859732e-81,6.8568019678948845e-25,1.1635492439990926e-27
689.0,1.880841042678643e-75,1.995695220064153e-23,6.50440530560923e-27
690.0,1.2974968188060417e-71,4.342574219329137e-24,5.6623709450774675e-28
691.0,2.632361595561037e-80,1.3082825982783783e-23,1.227479034567057e-28
692.0,1.7722088494591045e-71,1.9894697928017573e-24,2.077561963093204e-28
693.0,8.79135968332299e-68,8.536170048021787e-24,1.4092468805431619e-27
694.0,2.1040774473194927e-85,1.374860197914095e-24,7.669004870329762e-27
695.0,3.009815286737826e-72,1.6955665360521576e-25,1.6024372093051933e-28
696.0,4.10300239511785e-86,4.360414113806369e-24,2.9665000000000003e-26
697.0,2.8193445407403104e-64,1.7597067448680367e-23,1.909863702039524e-27
698.0,3.3964123104859884e-68,9.979585375043021e-25,5.454217549639526e-28
699.0,2.623833015823589e-73,2.5705677237938564e-25,4.0699954103858645e-28
700.0,9.433302116234533e-82,6.659351793559597e-24,2.7136889419782758e-27
701.0,3.8117568450512575e-80,6.441415534288106e-25,1.0789426142319787e-26
702.0,6.089826318399398e-73,1.2489406779638359e-23,1.1165394460506196e-27
703.0,7.20450138563175e-79,1.2326396983687114e-23,1.6522661509460228e-27
704.0,8.4817892705985855e-78,6.035997156089437e-25,6.66064294460068e-28
705.0,1.691985360563838e-69,9.045552535303435e-25,1.597214677482902e-27
706.0,3.1908895582142034e-78,2.5457123918503926e-25,5.23907901157909e-28
707.0,5.116287183869087e-83,5.75461677186608e-25,1.018074812230675e-27
708.0,8.249283941689605e-70,5.429419277631311e-24,2.6464223936164113e-27
709.0,6.140244315190466e-79,9.220978836931206e-24,3.3268900615794744e-27
710.0,5.234329870239672e-66,1.6799551405002668e-24,4.262322193143339e-27
711.0,4.723264637771591e-84,1.2019368791357744e-24,4.394515483418708e-28
712.0,1.3222056636467052e-70,4.9228607950071916e-24,3.0360638606664123e-28
713.0,5.505375026291376e-79,1.1243928209617046e-23,2.2783888310987196e-28
714.0,9.886685543951004e-85,4.3325337856197395e-25,9.972246782329883e-28
715.0,3.796372080657195e-80,8.81946913152353e-25,1.5875579166637013e-28
716.0,1.1922747277619578e-84,1.7024632440831932e-24,1.8403894635650835e-27
717.0,4.149693712736576e-71,1.4210929600365948e-23,2.1231375442071814e-28
718.0,3.436704518847878e-66,6.515857664211874e-24,2.8090037702087375e-28
719.0,6.691893584321697e-72,8.708565683636854e-25,1.741001161418984e-27
720.0,9.433151762282148e-86,2.9398558131059836e-25,1.6685025966817064e-27
721.0,4.292886078277466e-67,1.991129122498072e-23,4.118463673783564e-27
722.0,1.3705555190244578e-80,7.338013091958857e-24,6.649836149859114e-28
723.0,1.7398779352346037e-77,2.274606019154746e-25,1.2253498760076847e-27
724.0,4.36000788663246e-77,2.2269464002961685e-23,4.97525174553795e-28
725.0,4.887412329451618e-68,1.3975710533883286e-23,7.699718579783064e-28
726.0,2.1936635832449554e-76,8.631633021077724e-24,1.6909785507572579e-28
727.0,7.779498679999318e-73,1.4080986371854362e-23,2.9538822681961357e-28
